2017-04-21 18:56:47,022 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-21 18:56:47,024 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Peter\Documents\SpringMVC\KingsAndCreatures\src\test\resources
2017-04-21 18:57:53,089 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-21 18:57:53,097 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-21 18:57:53,099 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-21 18:57:53,101 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Peter\Documents\SpringMVC\KingsAndCreatures\src\test\resources
2017-04-21 18:58:09,964 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-04-21 18:58:10,056 [Worker-0] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Peter\Documents\SpringMVC\KingsAndCreatures
2017-04-21 18:58:10,057 [Worker-0] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2017-04-21 18:59:59,432 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-21 18:59:59,434 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-21 18:59:59,436 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-21 18:59:59,437 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Peter\Documents\SpringMVC\KingsAndCreatures\src\test\resources
2017-04-21 19:05:01,617 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-21 19:05:01,619 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-21 19:05:01,623 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-21 19:05:01,625 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Peter\Documents\SpringMVC\KingsAndCreatures\src\test\resources
2017-04-21 19:05:30,224 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-04-21 19:05:30,325 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Peter\Documents\SpringMVC\KingsAndCreatures
2017-04-21 19:05:30,325 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2017-04-21 19:06:27,635 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-21 19:06:27,637 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-21 19:06:27,640 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-21 19:06:27,641 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Peter\Documents\SpringMVC\KingsAndCreatures\src\test\resources
2017-04-21 19:06:35,999 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-04-21 19:06:36,072 [Worker-29] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Peter\Documents\SpringMVC\KingsAndCreatures
2017-04-21 19:06:36,072 [Worker-29] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2017-04-21 19:07:59,866 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-04-21 19:08:18,573 [Worker-31] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Peter\Documents\SpringMVC\KingsAndCreatures
2017-04-21 19:08:18,580 [Worker-31] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
